index,CL,DC,DX,GY,GYSY,JR,KX,NY,RC,XX,YL
2014/6/12,6.45E-10,6.54E-10,1.03E-10,5.34E-10,5.13E-10,8.29E-11,5.43E-10,1.57E-10,4.31E-10,4.10E-10,4.50E-10
2014/6/13,5.76E-10,6.17E-10,8.31E-11,4.98E-10,4.44E-10,8.39E-11,4.96E-10,1.30E-10,3.65E-10,3.57E-10,3.59E-10
2014/6/16,5.17E-10,5.44E-10,8.24E-11,4.23E-10,3.74E-10,6.35E-11,4.09E-10,1.24E-10,3.30E-10,2.97E-10,3.45E-10
2014/6/17,6.58E-10,6.14E-10,1.17E-10,5.36E-10,5.42E-10,8.75E-11,5.19E-10,1.55E-10,4.43E-10,3.76E-10,4.13E-10
2014/6/18,6.84E-10,7.03E-10,9.11E-11,5.93E-10,5.68E-10,1.22E-10,6.19E-10,1.46E-10,4.75E-10,3.99E-10,0
2014/6/19,1.13E-09,1.18E-09,1.33E-10,9.36E-10,9.44E-10,1.27E-10,9.88E-10,2.41E-10,7.76E-10,6.82E-10,7.92E-10
2014/6/20,9.52E-10,8.84E-10,1.19E-10,7.93E-10,7.43E-10,1.19E-10,7.77E-10,2.03E-10,6.48E-10,5.49E-10,6.39E-10
2014/6/23,7.48E-10,7.60E-10,1.10E-10,7.38E-10,6.43E-10,1.05E-10,6.35E-10,2.40E-10,5.62E-10,4.55E-10,5.38E-10
2014/6/24,6.83E-10,7.63E-10,9.42E-11,7.12E-10,6.13E-10,8.74E-11,6.02E-10,2.11E-10,5.15E-10,3.78E-10,4.67E-10
2014/6/25,0,8.53E-10,1.09E-10,7.36E-10,7.11E-10,1.01E-10,6.72E-10,1.96E-10,5.67E-10,4.61E-10,5.44E-10
2014/6/26,5.67E-10,6.59E-10,9.26E-11,5.78E-10,5.13E-10,8.70E-11,4.83E-10,1.30E-10,4.11E-10,3.61E-10,4.26E-10
2014/6/27,5.25E-10,6.04E-10,7.23E-11,5.00E-10,4.71E-10,8.57E-11,4.60E-10,1.48E-10,3.90E-10,3.42E-10,3.95E-10
2014/6/30,4.95E-10,5.90E-10,9.51E-11,4.46E-10,4.40E-10,8.96E-11,4.18E-10,1.47E-10,3.56E-10,3.37E-10,4.05E-10
2014/7/1,4.86E-10,5.07E-10,9.79E-11,4.36E-10,3.97E-10,7.80E-11,3.88E-10,1.43E-10,3.75E-10,2.99E-10,3.40E-10
2014/7/2,4.84E-10,5.04E-10,6.77E-11,4.11E-10,3.94E-10,7.50E-11,0,1.26E-10,3.33E-10,2.94E-10,3.35E-10
2014/7/3,4.34E-10,4.62E-10,7.59E-11,3.59E-10,3.47E-10,7.99E-11,3.53E-10,1.07E-10,3.14E-10,2.75E-10,3.17E-10
2014/7/4,4.78E-10,5.06E-10,1.03E-10,4.01E-10,3.77E-10,7.32E-11,3.91E-10,1.21E-10,3.47E-10,3.02E-10,0
2014/7/7,5.38E-10,5.20E-10,8.60E-11,4.40E-10,4.41E-10,9.08E-11,4.47E-10,1.42E-10,3.70E-10,3.48E-10,4.36E-10
2014/7/8,6.35E-10,5.58E-10,1.38E-10,0,4.34E-10,8.03E-11,4.25E-10,1.49E-10,4.05E-10,3.32E-10,3.68E-10
2014/7/9,6.04E-10,6.22E-10,1.50E-10,4.67E-10,4.81E-10,9.30E-11,4.70E-10,1.66E-10,4.16E-10,3.97E-10,3.89E-10
2014/7/10,5.89E-10,5.97E-10,9.14E-11,4.60E-10,4.67E-10,7.63E-11,4.68E-10,1.38E-10,4.06E-10,3.78E-10,3.99E-10
2014/7/11,5.71E-10,5.86E-10,1.02E-10,4.70E-10,3.75E-10,9.55E-11,4.92E-10,1.40E-10,3.97E-10,4.98E-10,3.89E-10
2014/7/14,0,5.12E-10,9.67E-11,3.90E-10,3.89E-10,7.40E-11,3.96E-10,1.47E-10,3.86E-10,4.01E-10,3.74E-10
2014/7/15,4.68E-10,4.52E-10,9.76E-11,3.81E-10,0,5.64E-11,3.58E-10,9.62E-11,3.25E-10,3.56E-10,3.86E-10
2014/7/16,5.01E-10,4.98E-10,1.21E-10,4.30E-10,3.46E-10,5.05E-11,4.12E-10,1.04E-10,3.51E-10,4.04E-10,4.05E-10
2014/7/17,5.54E-10,5.92E-10,1.37E-10,4.90E-10,4.36E-10,8.22E-11,4.98E-10,1.53E-10,4.39E-10,4.27E-10,4.72E-10
2014/7/18,5.36E-10,5.39E-10,1.07E-10,0,4.28E-10,7.50E-11,4.80E-10,1.23E-10,3.87E-10,5.01E-10,4.44E-10
2014/7/21,5.79E-10,5.64E-10,1.70E-10,5.10E-10,4.74E-10,8.12E-11,5.19E-10,1.68E-10,4.26E-10,4.98E-10,4.51E-10
2014/7/22,0,4.82E-10,7.55E-11,4.12E-10,3.96E-10,6.81E-11,4.12E-10,1.33E-10,3.59E-10,4.21E-10,3.89E-10
2014/7/23,5.79E-10,4.57E-10,8.05E-11,4.44E-10,3.70E-10,5.17E-11,4.51E-10,1.01E-10,3.50E-10,4.91E-10,4.62E-10
2014/7/24,5.45E-10,4.08E-10,1.07E-10,4.31E-10,3.53E-10,6.64E-11,4.26E-10,1.08E-10,3.42E-10,5.12E-10,4.50E-10
2014/7/25,4.87E-10,4.26E-10,7.87E-11,4.02E-10,3.17E-10,5.93E-11,4.17E-10,1.01E-10,3.35E-10,5.59E-10,4.42E-10
2014/7/28,4.82E-10,3.13E-10,5.93E-11,3.25E-10,2.44E-10,5.78E-11,3.01E-10,1.00E-10,2.50E-10,3.94E-10,3.30E-10
2014/7/29,3.98E-10,2.91E-10,6.46E-11,2.80E-10,2.13E-10,3.98E-11,2.85E-10,8.26E-11,2.14E-10,6.82E-10,2.80E-10
2014/7/30,3.64E-10,3.19E-10,5.76E-11,2.83E-10,2.44E-10,4.95E-11,3.03E-10,8.60E-11,2.25E-10,6.39E-10,2.89E-10
2014/7/31,3.68E-10,4.60E-10,7.22E-11,2.82E-10,2.51E-10,5.74E-11,3.07E-10,9.21E-11,2.49E-10,4.41E-10,2.93E-10
2014/8/1,0,4.23E-10,6.07E-11,3.03E-10,2.81E-10,4.92E-11,3.16E-10,9.35E-11,2.46E-10,4.11E-10,2.75E-10
2014/8/4,3.70E-10,3.76E-10,8.09E-11,2.90E-10,2.80E-10,4.79E-11,3.12E-10,8.93E-11,2.40E-10,3.56E-10,2.51E-10
2014/8/5,3.96E-10,3.27E-10,5.42E-11,2.69E-10,2.40E-10,4.70E-11,4.54E-10,9.16E-11,2.32E-10,3.07E-10,2.73E-10
2014/8/6,3.81E-10,3.19E-10,7.24E-11,2.76E-10,2.51E-10,5.73E-11,3.21E-10,8.96E-11,2.35E-10,3.05E-10,2.48E-10
2014/8/7,3.48E-10,3.72E-10,6.91E-11,2.98E-10,2.97E-10,6.81E-11,3.45E-10,1.10E-10,2.63E-10,2.86E-10,2.63E-10
2014/8/8,3.29E-10,3.42E-10,6.23E-11,2.96E-10,2.87E-10,5.71E-11,3.04E-10,1.05E-10,2.67E-10,3.09E-10,3.53E-10
2014/8/11,4.21E-10,3.40E-10,5.24E-11,2.70E-10,2.71E-10,6.85E-11,2.71E-10,1.01E-10,2.36E-10,2.38E-10,2.44E-10
2014/8/12,3.03E-10,2.96E-10,4.95E-11,2.98E-10,2.54E-10,6.52E-11,2.51E-10,8.04E-11,2.07E-10,2.25E-10,2.34E-10
2014/8/13,3.40E-10,3.70E-10,6.38E-11,3.12E-10,2.65E-10,5.61E-11,2.90E-10,9.76E-11,2.37E-10,2.75E-10,2.77E-10
2014/8/14,3.74E-10,3.61E-10,6.56E-11,2.90E-10,2.52E-10,6.10E-11,3.79E-10,1.08E-10,2.27E-10,2.42E-10,2.60E-10
2014/8/15,3.62E-10,3.52E-10,6.73E-11,3.30E-10,2.64E-10,5.99E-11,3.83E-10,1.14E-10,3.17E-10,2.58E-10,0
2014/8/18,0,2.73E-10,6.31E-11,2.69E-10,2.10E-10,4.84E-11,3.14E-10,9.05E-11,2.33E-10,2.15E-10,2.67E-10
2014/8/19,2.97E-10,3.26E-10,5.02E-11,2.68E-10,2.37E-10,4.53E-11,4.06E-10,7.60E-11,1.92E-10,3.88E-10,2.87E-10
2014/8/20,2.96E-10,3.62E-10,6.85E-11,3.01E-10,2.22E-10,5.11E-11,3.46E-10,7.67E-11,2.04E-10,3.50E-10,2.41E-10
2014/8/21,3.61E-10,3.47E-10,6.09E-11,4.10E-10,3.17E-10,6.92E-11,3.11E-10,1.02E-10,2.54E-10,3.16E-10,4.56E-10
2014/8/22,3.18E-10,2.90E-10,5.45E-11,3.21E-10,2.86E-10,5.40E-11,3.07E-10,7.72E-11,2.13E-10,2.77E-10,0
2014/8/25,4.61E-10,3.93E-10,6.83E-11,3.41E-10,2.98E-10,6.61E-11,4.59E-10,1.00E-10,3.89E-10,3.87E-10,4.43E-10
2014/8/26,5.19E-10,0,7.84E-11,4.06E-10,3.80E-10,6.06E-11,4.31E-10,1.31E-10,3.67E-10,3.77E-10,4.08E-10
2014/8/27,4.08E-10,4.42E-10,7.70E-11,3.65E-10,3.25E-10,6.06E-11,3.93E-10,1.12E-10,2.98E-10,3.11E-10,3.60E-10
2014/8/28,4.68E-10,5.21E-10,8.10E-11,5.03E-10,4.07E-10,8.77E-11,4.09E-10,1.28E-10,3.44E-10,3.36E-10,3.81E-10
2014/8/29,4.89E-10,5.02E-10,1.08E-10,4.73E-10,4.20E-10,9.64E-11,3.97E-10,1.39E-10,3.58E-10,3.41E-10,3.56E-10
2014/9/1,4.04E-10,3.76E-10,5.42E-11,4.46E-10,3.11E-10,5.85E-11,3.14E-10,9.24E-11,2.79E-10,2.85E-10,2.69E-10
2014/9/2,2.81E-10,2.74E-10,5.94E-11,2.73E-10,2.07E-10,5.83E-11,2.12E-10,7.64E-11,2.03E-10,2.56E-10,1.83E-10
2014/9/3,2.34E-10,2.32E-10,4.03E-11,2.08E-10,1.87E-10,4.67E-11,2.17E-10,6.88E-11,1.70E-10,2.43E-10,1.65E-10
2014/9/4,2.40E-10,2.16E-10,3.48E-11,2.03E-10,2.24E-10,4.68E-11,1.96E-10,5.99E-11,1.77E-10,1.85E-10,1.64E-10
