Row,Var1,Var2,Var3,Var4,Var5,Var6
20200114,-0.0228169737304537,-0.0121299545407095,-0.0115966750335919,-0.0139362622104767,-0.0081923216431572,-0.0114266785361862
20200115,-0.0264288642578679,-0.0121524717136481,-0.0111322534292379,-0.0142446951821622,-0.00904976123459629,-0.0117844860114649
20200116,-0.0271540778521445,-0.0129664458798669,-0.0155672213284786,-0.0147339397971615,-0.0106125252814375,-0.0154357696606982
20200117,-0.0263680755947387,-0.0130144750612024,-0.0173687187960886,-0.0163368098106119,-0.0107889555102472,-0.0149098349499165
20200120,-0.0227758809511618,-0.0119287153552371,-0.0117388949925451,-0.0135653848371662,-0.00785339998013631,-0.0121335303102053
20200121,-0.0222981665707769,-0.0123450904514424,-0.0116318110072817,-0.0143519159053611,-0.00822911452729617,-0.0124677728652423
20200122,-0.0307191646682327,-0.0143570907544401,-0.0165008676768235,-0.0170470558093933,-0.0105524518000059,-0.0201610551617094
20200123,-0.0234001466333065,-0.0128261659657633,-0.0117279922596281,-0.0130709856608554,-0.00782912894112361,-0.0122349767358291
20200203,-0.0330422752083488,-0.0141422602475965,-0.0165534456822638,-0.0186182712814819,-0.0120229336274834,-0.0202794162108817
20200204,-0.0560455848028732,-0.0228875341492275,-0.0368685126061786,-0.0449118596184085,-0.0356262235382567,-0.0526938883456698
20200205,-0.027644409479348,-0.0139693570724012,-0.0152893697696109,-0.0122944900370662,-0.015401142054891,-0.0209450276120052
20200206,-0.02290723831188,-0.0119783748687096,-0.0116031198138268,-0.0150540940783711,-0.00832672261615217,-0.0117986090644681
20200207,-0.0224547182583224,-0.012128103850147,-0.0111707798251944,-0.0145800998422228,-0.00830666077658137,-0.0147413161142144
20200210,-0.0253232102362483,-0.012640296492264,-0.0159639535175681,-0.0171970922463928,-0.00759865610207886,-0.0112036834499841
20200211,-0.0250969547984234,-0.0127823118292941,-0.0125191697880026,-0.013359985971265,-0.00906813478367477,-0.0147985556318472
20200212,-0.0229892998206409,-0.0129261691341903,-0.0127628170200599,-0.0159829694774479,-0.00978862564396881,-0.0133860262863303
20200213,-0.0226580931011171,-0.0122143243043724,-0.0106740790478249,-0.0130850333984968,-0.00845069655949829,-0.0110737134096389
20200214,-0.0247167942695609,-0.0136369167439617,-0.0150968001639693,-0.0182460216758312,-0.00914248741796644,-0.015774061373808
20200217,-0.0230763418523355,-0.0124687046314666,-0.0117675515892485,-0.0133621032440381,-0.00977838425107211,-0.0129397757015025
20200218,-0.0227815864643937,-0.0141670114427674,-0.0137840989982497,-0.0165797579600862,-0.0105143435427592,-0.0164246685638057
20200219,-0.0256492408941544,-0.0128556090004417,-0.0133500488336021,-0.0153666250725292,-0.0108364722552403,-0.0152434357540945
20200220,-0.0226557195641661,-0.0122102480305307,-0.0117257678202244,-0.013565763582546,-0.00923674147761093,-0.0122257293852653
20200221,-0.0227336669814275,-0.0136400121383836,-0.0122091762753681,-0.0152920631246618,-0.00974750975436979,-0.016308542252762
20200224,-0.0224042440911928,-0.012248624999657,-0.0124272604778908,-0.0135843628806622,-0.00923760936335433,-0.0132727203389307
20200225,-0.0291832792754594,-0.013042409552507,-0.0151046102349582,-0.0174375087716828,-0.0121922954069567,-0.015889366568994
20200226,-0.0269424380777383,-0.0142567012291694,-0.0133988675630535,-0.0169895980396067,-0.0110170823390527,-0.020110340102052
20200227,-0.0237943278162781,-0.01300569387101,-0.0106857974540463,-0.0131048540557833,-0.00994739957698775,-0.0122632649747777
20200228,-0.0225358713154809,-0.0121804626087877,-0.0115329995726451,-0.0145206859961105,-0.00913786400880717,-0.0109660424672632
20200302,-0.0349136120854527,-0.0168821217304898,-0.0197157859135274,-0.0241383602297772,-0.0182383546415953,-0.0237793394382819
20200303,-0.0242939175763143,-0.0154553392641088,-0.0140068378744433,-0.0135640695323481,-0.0120785593997111,-0.0175921256367627
20200304,-0.0238793395780737,-0.0130666042513265,-0.0117572514008245,-0.0140858094240674,-0.00935657289564392,-0.0125694239862312
20200305,-0.0229886536495225,-0.0126859183051019,-0.0111842021123446,-0.0136270250644345,-0.00838897921804196,-0.010995402607251
20200306,-0.0233429557744546,-0.0144039333136745,-0.0143183050473763,-0.0171344899278727,-0.00964360806337394,-0.0167829074722354
20200309,-0.0296012478221225,-0.0145838209832097,-0.0151639403010164,-0.0176970392432347,-0.0121845983183683,-0.0211473391506476
20200310,-0.0352795708411706,-0.0152115950508355,-0.0197657691765518,-0.0220225139899118,-0.0170054808183641,-0.0207421785168625
20200311,-0.0243762916469659,-0.0135636916326967,-0.0134711373484923,-0.0129297086390756,-0.00987368243913078,-0.0145324176989427
20200312,-0.0238932737628726,-0.0131238166393101,-0.0143195758024371,-0.0145886464841912,-0.00775947067816602,-0.0171601148884882
20200313,-0.0225705057661153,-0.0128136452539684,-0.013445063884167,-0.0141089995606007,-0.00905022512604766,-0.0144485482202942
20200316,-0.0255707833404409,-0.0145786594581842,-0.017146317303011,-0.01678195942661,-0.0107030879167842,-0.0152188130057182
20200317,-0.0394206850504952,-0.0141031807856966,-0.0154221457388457,-0.0173241203188261,-0.0108897718262264,-0.0173708936113733
20200318,-0.0321608027194168,-0.0131909848430981,-0.0107230737300028,-0.0136541827212965,-0.0092577433944075,-0.0155752050116348
20200319,-0.0400256135656267,-0.0162139088726049,-0.0162972180591642,-0.0176003549918228,-0.0168837685876797,-0.018568036368149
20200320,-0.0364002331612422,-0.0193178199422057,-0.0222628126683087,-0.0243937465463535,-0.0146918034720501,-0.018953389586183
