trade_date,yield_sum000001.SZ,yield_sum600015.SH,yield_sum601398.SH,yield_sum601939.SH,yield_sum601988.SH,yield_sum601998.SH
2019-07-23,1.0345864661654134,0.8311111111111111,0.9129032258064516,0.94921875,0.9294710327455918,0.9193548387096774
2019-07-24,1.043609022556391,0.8355555555555555,0.917741935483871,0.9596354166666667,0.9294710327455918,0.9306451612903225
2019-07-25,1.0676691729323307,0.8411111111111111,0.917741935483871,0.96484375,0.9319899244332494,0.9435483870967741
2019-07-26,1.069924812030075,0.8411111111111111,0.917741935483871,0.9583333333333334,0.9319899244332494,0.9435483870967741
2019-07-29,1.0744360902255639,0.84,0.9112903225806452,0.9596354166666667,0.9319899244332494,0.9467741935483871
2019-07-30,1.0804511278195488,0.8466666666666667,0.9129032258064516,0.9635416666666667,0.9370277078085643,0.9612903225806452
2019-07-31,1.062406015037594,0.84,0.9096774193548386,0.9596354166666667,0.9345088161209067,0.9580645161290323
2019-08-01,1.0601503759398496,0.8366666666666667,0.9048387096774194,0.9544270833333334,0.9269521410579346,0.9532258064516129
2019-08-02,1.0330827067669173,0.83,0.896774193548387,0.9388020833333334,0.9168765743073047,0.9387096774193548
2019-08-05,1.0037593984962405,0.8144444444444444,0.8838709677419355,0.9244791666666666,0.9017632241813601,0.917741935483871
2019-08-06,1.0052631578947366,0.8033333333333333,0.8725806451612903,0.9153645833333334,0.8891687657430729,0.9016129032258065
2019-08-07,1.0180451127819548,0.8011111111111111,0.8693548387096773,0.9153645833333334,0.8866498740554156,0.9080645161290322
2019-08-08,1.081203007518797,0.8044444444444445,0.8758064516129032,0.9296875,0.8916876574307304,0.9112903225806452
2019-08-09,1.0917293233082705,0.8066666666666666,0.8806451612903226,0.9296875,0.8967254408060453,0.9048387096774194
2019-08-12,1.1368421052631579,0.8177777777777778,0.8887096774193548,0.9361979166666667,0.9017632241813601,0.9080645161290322
2019-08-13,1.1195488721804512,0.81,0.8887096774193548,0.9244791666666666,0.9017632241813601,0.896774193548387
2019-08-14,1.125563909774436,0.81,0.8919354838709678,0.921875,0.8992443324937027,0.896774193548387
2019-08-15,1.1233082706766917,0.8066666666666666,0.896774193548387,0.9244791666666666,0.9017632241813601,0.8919354838709678
2019-08-16,1.1203007518796992,0.8044444444444445,0.8870967741935484,0.9231770833333334,0.8992443324937027,0.8903225806451612
2019-08-19,1.1218045112781954,0.8155555555555556,0.882258064516129,0.9205729166666667,0.9017632241813601,0.9016129032258065
2019-08-20,1.1270676691729322,0.8144444444444444,0.8741935483870967,0.9101562500000001,0.8967254408060453,0.8935483870967742
2019-08-21,1.0864661654135337,0.8111111111111111,0.8758064516129032,0.9114583333333334,0.8942065491183878,0.8983870967741936
2019-08-22,1.0759398496240602,0.8133333333333334,0.8693548387096773,0.9049479166666667,0.8916876574307304,0.8951612903225806
2019-08-23,1.1015037593984962,0.8144444444444444,0.8741935483870967,0.9127604166666666,0.8916876574307304,0.8983870967741936
2019-08-26,1.0714285714285714,0.8077777777777777,0.8677419354838709,0.90234375,0.8866498740554156,0.8903225806451612
